"My Cart","Cart"
"Sign In","Login"
"Create an Account","Register"
"%1 items","%1",module,Magento_Wishlist
"1 item","1",module,Magento_Wishlist
"Search entire store here...","Type keyword to search..."
"My Cart","Cart"
